Country,SW_LIFS,CG_SENG,CG_VOTO,EQ_AIRP,EQ_WATER,ES_EDUA,ES_EDUEX,ES_STCS,HO_BASE,HO_HISH,HO_NUMR,HS_LEB,HS_SFRH,IW_HADI,IW_HNFW,JE_EMPL,JE_LMIS,JE_LTUR,JE_PEARN,PS_FSAFEN,PS_REPH,SC_SNTWS,WL_EWLH,WL_TNOW,GDPC,UNEMP
Australia,7.3,2.7,91,5,93,81,21,502,0.9,20,1.6,82.5,85,32759,427064,73,5.4,1.31,49126,63.5,1.1,95,13.04,14.35,52725.75,5.158
Austria,7.1,1.3,80,16,92,85,17,492,0.9,21,1.6,81.7,70,33541,308325,72,3.5,1.84,50349,80.6,0.5,92,6.66,14.55,58849.55,4.5
Belgium,6.9,2,89,15,84,77,19.3,503,1.9,21,2.2,81.5,74,30364,386006,63,3.7,3.54,49675,70.1,1,91,4.75,15.7,54028.79,5.358
Brazil,6.4,2.2,79,10,73,49,16.2,395,6.7,21,1.6,74.8,69,29333,246166.5,61,4.8,1.77,40863,35.6,26.7,90,7.13,14.91,15336.84,11.925
Canada,7.4,2.9,68,7,91,91,17.3,523,0.2,22,2.6,81.9,88,30854,423849,73,6,0.77,47622,82.2,1.3,93,3.69,14.56,51190.13,5.667
Chile,6.5,1.3,47,16,71,65,17.5,443,9.4,18,1.2,79.9,57,29333,100967,63,8.7,1.77,25879,47.9,4.2,85,9.72,14.91,25057.07,7.223
Colombia,6.3,1.4,53,10,75,54,14.1,410,23.9,17,1.2,76.2,69,29333,246166.5,67,4.8,0.79,40863,44.4,24.5,89,26.56,14.91,15334.1,10.517
Czech Republic,6.7,1.6,61,20,87,94,17.9,491,0.7,24,1.4,79.1,60,21453,246166.5,74,3.1,1.04,25372,72.3,0.5,91,5.65,14.91,42669.92,2.001
Denmark,7.6,2,86,9,95,81,19.5,504,0.5,23,1.9,80.9,71,29606,118637,74,4.2,1.31,51466,83.5,0.6,95,2.34,15.87,59719.02,5.042
Estonia,5.7,2.7,64,8,84,89,17.7,524,7,17,1.6,77.8,53,19697,159373,74,3.8,1.92,24336,69,3.1,92,2.42,14.9,38540.11,4.448
Finland,7.6,2.2,67,6,95,88,19.8,523,0.5,23,1.9,81.5,70,29943,200827,70,3.9,2.13,42964,85.1,1.3,95,3.81,15.17,50748.17,6.833
France,6.5,2.1,75,13,81,78,16.5,496,0.5,21,1.8,82.4,66,31304,280653,65,7.6,4,43755,70.5,0.5,90,7.67,16.36,49798.55,8.467
Germany,7,1.8,76,14,91,87,18.1,508,0.2,20,1.8,81.1,65,34294,259667,75,2.7,1.57,47585,72.5,0.5,90,4.26,15.62,56226.22,3.133
Greece,5.4,1.8,64,18,69,73,19,458,0.5,23,1.2,81.5,74,17700,150134,53,29.8,15.65,26064,60,0.8,80,6.42,14.91,31572.12,17.325
Hungary,5.6,1.2,70,19,77,84,16.4,474,4.7,19,1.2,76.2,60,29333,104458,68,4.7,1.72,22576,56.3,1,86,3.03,14.91,33991.88,3.418
Iceland,7.5,2.1,79,3,99,77,19,481,0,24,1.6,82.3,76,29333,246166.5,86,0.7,0.26,61787,86,0.5,98,15.06,14.91,58965.05,3.55
Ireland,7,1.3,65,7,85,82,18.1,509,1,20,2.1,81.8,83,25310,217130,67,7.8,3.23,47653,75.9,0.7,95,5.25,14.91,91958.85,4.958
Israel,7.2,2.5,72,21,67,87,15.6,472,0.9,21,1.2,82.5,84,29333,246166.5,69,4.2,0.49,35067,69.8,1.8,88,15.45,14.91,41785.56,3.8
Italy,6,2.5,73,18,71,61,16.6,485,0.7,23,1.4,83.3,71,26588,279889,58,12.3,6.59,36658,58.4,0.6,92,4.11,16.47,44160.77,9.9
Japan,5.9,1.4,53,14,87,82,16.4,529,6.4,22,1.9,84.1,36,29798,305878,75,1.4,1.03,40863,72.5,0.2,89,5,14.91,43193.86,2.358
Korea,5.9,2.9,77,28,76,88,17.3,519,2.5,15,1.5,82.4,33,21882,285980,67,2.6,0.05,35191,66.6,1,78,5,14.7,44573.06,3.783
Latvia,5.9,2.2,59,11,79,88,18,487,13.9,23,1.2,74.7,47,16275,70160,70,9.6,3.35,23683,62.4,4.8,86,1.27,13.83,32013.65,6.311
Lithuania,5.9,2.4,51,14,81,93,18.4,475,13.6,19,1.5,74.8,43,21660,246166.5,70,4.8,2.69,24287,55.9,3.4,88,0.54,14.91,38586.9,6.254
Luxembourg,6.9,1.7,91,12,84,77,15.1,483,0.5,21,1.9,82.8,69,39264,769053,66,1.7,2.35,63062,75.8,0.6,93,3.82,14.91,120490.33,5.401
Mexico,6.5,3.2,63,16,68,38,15.2,416,25.5,20,1,75.4,66,29333,246166.5,61,5.5,0.07,15314,41.8,18.1,81,28.7,14.91,20583.06,3.493
Netherlands,7.4,2.6,82,14,93,78,18.7,508,0.1,19,1.9,81.6,76,29333,157824,76,4.8,1.97,52877,82,0.6,91,0.42,14.91,59693.37,3.39
New Zealand,7.3,2.5,80,5,89,79,17.7,506,0.9,26,2.4,81.7,88,29333,388514,77,4.7,0.74,40043,65.7,1.3,96,15.11,14.87,43809.04,4.075
Norway,7.6,2.2,78,5,98,82,18.3,504,0,17,2.1,82.5,77,35725,228936,74,4.8,0.66,51212,90.1,0.4,94,2.93,15.56,66214.05,3.728
Poland,6.1,2.6,55,22,82,92,17.6,504,3,22,1.1,78,58,19814,210991,66,5.7,1.52,27046,67.3,0.7,86,5.95,14.42,34483.87,3.279
Portugal,5.4,1.5,56,10,86,48,16.9,497,1,21,1.7,81.2,48,21203,232666,68,10,4.43,25367,73.4,1,88,8.27,14.91,36246.02,6.463
Russia,5.8,2.2,68,15,55,94,16.2,492,14.8,18,0.9,71.8,43,29333,246166.5,70,4.8,1.59,40863,52.8,9.6,89,0.14,14.91,28184.12,4.6
Slovak Republic,6.2,3,60,21,85,91,15.8,463,1.2,23,1.1,77.3,66,20474,119696,66,9.9,4.78,24328,63.5,0.8,91,4.14,14.91,34202.35,5.758
Slovenia,5.9,2.5,53,16,90,88,18.3,509,0.4,18,1.5,81.3,64,20820,203044,69,5.8,3.17,34933,86.1,0.6,92,4.39,14.75,40716.55,4.6
South Africa,4.7,2.2,73,22,67,73,17.6,496,37,18,1.6,57.5,69,29333,246166.5,43,4.8,16.46,40863,36.1,13.7,88,18.12,14.92,12961.7,28.7
Spain,6.3,1.8,70,11,72,59,17.9,491,0.1,21,1.9,83.4,72,23999,373548,62,23.1,7.66,38507,82.1,0.6,93,4.01,15.93,43153.55,14.105
Sweden,7.3,2,86,6,96,83,19.3,496,0,19,1.7,82.4,75,31287,246166.5,77,3.2,1.12,42393,75.6,0.9,91,1.07,15.18,55264.97,6.767
Switzerland,7.5,2.3,49,15,95,88,17.5,506,0.1,22,1.9,83.7,78,37466,246166.5,80,4.8,1.82,62283,85.3,0.6,93,0.37,14.91,72008.02,2.306
Turkey,5.5,1.5,86,20,65,39,18.3,425,8,20,1,78,69,29333,246166.5,52,12.5,2.39,40863,59.8,1.4,86,32.64,14.79,29723.53,13.709
United Kingdom,6.8,3.1,69,11,84,81,17.5,500,0.3,26,1.9,81.2,69,28715,548392,75,4.5,1.13,43732,77.7,0.2,94,12.15,14.92,48727.41,3.825
United States,6.9,3.1,65,10,83,91,17.2,488,0.1,19,2.4,78.6,88,45284,632100,70,7.7,0.66,60558,73.9,5.5,91,11.09,14.44,65253.52,3.667